Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,3,ligue_2,20,15,2,1,2,17,0,0,0,2,2,4,0.0,0,0,2,2,4,3,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,3,ligue_2,20,15,0,4,0,2,6,2,0,0,8,0,5.4,2,0,0,8,0,16,0,0,0,2,0,8,0.0,0,0,2,0,8,5.4,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,3,ligue_2,20,15,1,1,1,6,2,0,2,0,2,2,1.8,0,2,0,2,2,10,2,0,2,0,2,2,1.8,0,2,0,2,2,1.8,1.8,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,3,ligue_2,20,15,2,0,4,19,0,0,0,2,0,8,0.0,0,0,2,0,8,1,6,2,0,0,8,0,5.4,2,0,0,8,0,0.0,5.4,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,3,ligue_2,20,15,1,0,0,11,2,0,2,0,0,0,1.8,0,2,0,0,0,14,2,0,2,0,0,0,1.8,0,2,0,0,0,1.8,1.8,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,3,ligue_2,20,15,0,2,1,5,6,2,0,0,4,2,5.4,2,0,0,4,2,18,0,0,0,2,2,4,0.0,0,0,2,2,4,5.4,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,3,ligue_2,20,15,1,2,2,15,2,0,2,0,4,4,1.8,0,2,0,4,4,8,2,0,2,0,4,4,1.8,0,2,0,4,4,1.8,1.8,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,3,ligue_2,20,15,1,0,0,7,2,0,2,0,0,0,1.8,0,2,0,0,0,12,2,0,2,0,0,0,1.8,0,2,0,0,0,1.8,1.8,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,3,ligue_2,20,15,2,1,3,20,0,0,0,2,2,6,0.0,0,0,2,2,6,4,6,2,0,0,6,2,5.4,2,0,0,6,2,0.0,5.4,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,4,ligue_2,20,15,1,1,1,12,3,0,3,0,3,3,2.4,0,3,0,3,3,8,3,0,3,0,3,3,2.4,0,3,0,3,3,2.4,2.4,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,4,ligue_2,20,15,2,1,2,17,0,0,0,3,3,6,0.0,0,0,3,3,6,3,9,3,0,0,6,3,7.2,3,0,0,6,3,0.0,7.2,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,4,ligue_2,20,15,0,4,0,2,9,3,0,0,12,0,7.2,3,0,0,12,0,16,0,0,0,3,0,12,0.0,0,0,3,0,12,7.2,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,4,ligue_2,20,15,1,1,1,15,3,0,3,0,3,3,2.4,0,3,0,3,3,11,3,0,3,0,3,3,2.4,0,3,0,3,3,2.4,2.4,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,4,ligue_2,20,15,2,0,4,19,0,0,0,3,0,12,0.0,0,0,3,0,12,1,9,3,0,0,12,0,7.2,3,0,0,12,0,0.0,7.2,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,4,ligue_2,20,15,1,0,0,10,3,0,3,0,0,0,2.4,0,3,0,0,0,7,3,0,3,0,0,0,2.4,0,3,0,0,0,2.4,2.4,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,4,ligue_2,20,15,0,2,1,5,9,3,0,0,6,3,7.2,3,0,0,6,3,18,0,0,0,3,3,6,0.0,0,0,3,3,6,7.2,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,4,ligue_2,20,15,1,2,2,6,3,0,3,0,6,6,2.4,0,3,0,6,6,13,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,4,ligue_2,20,15,1,0,0,14,3,0,3,0,0,0,2.4,0,3,0,0,0,9,3,0,3,0,0,0,2.4,0,3,0,0,0,2.4,2.4,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,4,ligue_2,20,15,2,1,3,20,0,0,0,3,3,9,0.0,0,0,3,3,9,4,9,3,0,0,9,3,7.2,3,0,0,9,3,0.0,7.2,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,5,ligue_2,20,15,1,1,1,9,4,0,4,0,4,4,2.8,0,4,0,4,4,13,4,0,4,0,4,4,2.8,0,4,0,4,4,2.8,2.8,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,5,ligue_2,20,15,2,1,2,17,0,0,0,4,4,8,0.0,0,0,4,4,8,3,12,4,0,0,8,4,8.4,4,0,0,8,4,0.0,8.4,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,5,ligue_2,20,15,0,4,0,2,12,4,0,0,16,0,8.4,4,0,0,16,0,16,0,0,0,4,0,16,0.0,0,0,4,0,16,8.4,0.0,,
