Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,3,primeira_liga,18,11,2,0,2,15,0,0,0,2,0,4,0.0,0,0,2,0,4,8,6,2,0,0,4,0,5.4,2,0,0,4,0,0.0,5.4,,
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,3,primeira_liga,18,11,2,0,1,14,0,0,0,2,0,2,0.0,0,0,2,0,2,5,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,3,primeira_liga,18,11,0,3,0,6,6,2,0,0,6,0,5.4,2,0,0,6,0,13,0,0,0,2,0,6,0.0,0,0,2,0,6,5.4,0.0,,
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,3,primeira_liga,18,11,0,2,0,7,6,2,0,0,4,0,5.4,2,0,0,4,0,11,0,0,0,2,0,4,0.0,0,0,2,0,4,5.4,0.0,,
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,3,primeira_liga,18,11,0,2,0,3,6,2,0,0,4,0,5.4,2,0,0,4,0,17,0,0,0,2,0,4,0.0,0,0,2,0,4,5.4,0.0,,
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,3,primeira_liga,18,11,0,3,0,9,6,2,0,0,6,0,5.4,2,0,0,6,0,16,0,0,0,2,0,6,0.0,0,0,2,0,6,5.4,0.0,,
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,4,primeira_liga,18,11,0,3,0,3,9,3,0,0,9,0,7.2,3,0,0,9,0,16,0,0,0,3,0,9,0.0,0,0,3,0,9,7.2,0.0,,
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,4,primeira_liga,18,11,2,0,2,18,0,0,0,3,0,6,0.0,0,0,3,0,6,1,9,3,0,0,6,0,7.2,3,0,0,6,0,0.0,7.2,,
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,4,primeira_liga,18,11,2,1,2,14,0,0,0,3,3,6,0.0,0,0,3,3,6,9,9,3,0,0,6,3,7.2,3,0,0,6,3,0.0,7.2,,
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,4,primeira_liga,18,11,2,0,2,13,0,0,0,3,0,6,0.0,0,0,3,0,6,7,9,3,0,0,6,0,7.2,3,0,0,6,0,0.0,7.2,,
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,4,primeira_liga,18,11,2,0,1,10,0,0,0,3,0,3,0.0,0,0,3,0,3,4,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,4,primeira_liga,18,11,0,3,0,5,9,3,0,0,9,0,7.2,3,0,0,9,0,15,0,0,0,3,0,9,0.0,0,0,3,0,9,7.2,0.0,,
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,4,primeira_liga,18,11,0,2,0,6,9,3,0,0,6,0,7.2,3,0,0,6,0,17,0,0,0,3,0,6,0.0,0,0,3,0,6,7.2,0.0,,
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,4,primeira_liga,18,11,0,2,0,2,9,3,0,0,6,0,7.2,3,0,0,6,0,11,0,0,0,3,0,6,0.0,0,0,3,0,6,7.2,0.0,,
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,4,primeira_liga,18,11,0,3,0,8,9,3,0,0,9,0,7.2,3,0,0,9,0,12,0,0,0,3,0,9,0.0,0,0,3,0,9,7.2,0.0,,
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,5,primeira_liga,18,11,0,3,0,2,12,4,0,0,12,0,8.4,4,0,0,12,0,12,0,0,0,4,0,12,0.0,0,0,4,0,12,8.4,0.0,,
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,5,primeira_liga,18,11,2,0,2,18,0,0,0,4,0,8,0.0,0,0,4,0,8,1,12,4,0,0,8,0,8.4,4,0,0,8,0,0.0,8.4,,
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,5,primeira_liga,18,11,2,1,2,10,0,0,0,4,4,8,0.0,0,0,4,4,8,8,12,4,0,0,8,4,8.4,4,0,0,8,4,0.0,8.4,,
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,5,primeira_liga,18,11,2,0,2,15,0,0,0,4,0,8,0.0,0,0,4,0,8,6,12,4,0,0,8,0,8.4,4,0,0,8,0,0.0,8.4,,
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,5,primeira_liga,18,11,2,0,1,14,0,0,0,4,0,4,0.0,0,0,4,0,4,3,12,4,0,0,4,0,8.4,4,0,0,4,0,0.0,8.4,,
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,5,primeira_liga,18,11,0,3,0,4,12,4,0,0,12,0,8.4,4,0,0,12,0,13,0,0,0,4,0,12,0.0,0,0,4,0,12,8.4,0.0,,
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,5,primeira_liga,18,11,0,2,0,5,12,4,0,0,8,0,8.4,4,0,0,8,0,11,0,0,0,4,0,8,0.0,0,0,4,0,8,8.4,0.0,,
