Home_Team,Away_Team,Result,Link,Season,Round,League
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,7,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,7,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,7,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,7,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,7,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,7,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,7,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,7,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,7,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,7,primera_division
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,8,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,8,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,8,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,8,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,8,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,8,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,8,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,8,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,8,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,8,primera_division
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,9,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,9,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,9,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,9,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,9,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,9,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,9,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,9,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,9,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,9,primera_division
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,10,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,10,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,10,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,10,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,10,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,10,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,10,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,10,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,10,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,10,primera_division
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,11,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,11,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,11,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,11,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,11,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,11,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,11,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,11,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,11,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,11,primera_division
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,12,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,12,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,12,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,12,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,12,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,12,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,12,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,12,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,12,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,12,primera_division
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,13,primera_division
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,13,primera_division
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,13,primera_division
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,13,primera_division
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,13,primera_division
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,13,primera_division
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,13,primera_division
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,13,primera_division
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,13,primera_division
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,13,primera_division
