Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Den Bosch,Helmond Sport,2-0,https://www.besoccer.com/match/fc-den-bosch/helmond-sport/20222632,2022,3,eerste_divisie,20,15,0,2,0,6,6,2,0,0,4,0,5.4,2,0,0,4,0,17,0,0,0,2,0,4,0.0,0,0,2,0,4,5.4,0.0,,
Dordrecht,Jong PSV,1-1,https://www.besoccer.com/match/fc-dordrecht/jong-psv/20222633,2022,3,eerste_divisie,20,15,1,1,1,10,2,0,2,0,2,2,1.8,0,2,0,2,2,12,2,0,2,0,2,2,1.8,0,2,0,2,2,1.8,1.8,,
FC Eindhoven,FC Volendam,2-2,https://www.besoccer.com/match/fc-eindhoven/fc-volendam/20222634,2022,3,eerste_divisie,20,15,1,2,2,14,2,0,2,0,4,4,1.8,0,2,0,4,4,8,2,0,2,0,4,4,1.8,0,2,0,4,4,1.8,1.8,,
Excelsior,TOP Oss,0-1,https://www.besoccer.com/match/excelsior/fc-oss/20222635,2022,3,eerste_divisie,20,15,2,0,1,19,0,0,0,2,0,2,0.0,0,0,2,0,2,1,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
SC Telstar,Emmen,1-1,https://www.besoccer.com/match/stormvogels-telstar/emmen/20222636,2022,3,eerste_divisie,20,15,1,1,1,9,2,0,2,0,2,2,1.8,0,2,0,2,2,11,2,0,2,0,2,2,1.8,0,2,0,2,2,1.8,1.8,,
De Graafschap,Roda JC,0-3,https://www.besoccer.com/match/graafschap/roda-jc/20222637,2022,3,eerste_divisie,20,15,2,0,3,18,0,0,0,2,0,6,0.0,0,0,2,0,6,3,6,2,0,0,6,0,5.4,2,0,0,6,0,0.0,5.4,,
ADO Den Haag,Jong Ajax,2-0,https://www.besoccer.com/match/ado-den-haag/jong-ajax/20222638,2022,3,eerste_divisie,20,15,0,2,0,4,6,2,0,0,4,0,5.4,2,0,0,4,0,16,0,0,0,2,0,4,0.0,0,0,2,0,4,5.4,0.0,,
VVV Venlo,NAC Breda,2-2,https://www.besoccer.com/match/vvv/nac-breda/20222639,2022,3,eerste_divisie,20,15,1,2,2,13,2,0,2,0,4,4,1.8,0,2,0,4,4,7,2,0,2,0,4,4,1.8,0,2,0,4,4,1.8,1.8,,
Jong AZ,Almere City,2-1,https://www.besoccer.com/match/az-alkmaar-sub23/almere-city/20222640,2022,3,eerste_divisie,20,15,0,2,1,5,6,2,0,0,4,2,5.4,2,0,0,4,2,15,0,0,0,2,2,4,0.0,0,0,2,2,4,5.4,0.0,,
Jong Utrecht,MVV Maastricht,0-1,https://www.besoccer.com/match/jong-utrecht/mvv/20222641,2022,3,eerste_divisie,20,15,2,0,1,20,0,0,0,2,0,2,0.0,0,0,2,0,2,2,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Den Bosch,Helmond Sport,2-0,https://www.besoccer.com/match/fc-den-bosch/helmond-sport/20222632,2022,4,eerste_divisie,20,15,0,2,0,6,9,3,0,0,6,0,7.2,3,0,0,6,0,17,0,0,0,3,0,6,0.0,0,0,3,0,6,7.2,0.0,,
Dordrecht,Jong PSV,1-1,https://www.besoccer.com/match/fc-dordrecht/jong-psv/20222633,2022,4,eerste_divisie,20,15,1,1,1,11,3,0,3,0,3,3,2.4,0,3,0,3,3,9,3,0,3,0,3,3,2.4,0,3,0,3,3,2.4,2.4,,
FC Eindhoven,FC Volendam,2-2,https://www.besoccer.com/match/fc-eindhoven/fc-volendam/20222634,2022,4,eerste_divisie,20,15,1,2,2,7,3,0,3,0,6,6,2.4,0,3,0,6,6,13,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
Excelsior,TOP Oss,0-1,https://www.besoccer.com/match/excelsior/fc-oss/20222635,2022,4,eerste_divisie,20,15,2,0,1,19,0,0,0,3,0,3,0.0,0,0,3,0,3,1,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
SC Telstar,Emmen,1-1,https://www.besoccer.com/match/stormvogels-telstar/emmen/20222636,2022,4,eerste_divisie,20,15,1,1,1,12,3,0,3,0,3,3,2.4,0,3,0,3,3,10,3,0,3,0,3,3,2.4,0,3,0,3,3,2.4,2.4,,
De Graafschap,Roda JC,0-3,https://www.besoccer.com/match/graafschap/roda-jc/20222637,2022,4,eerste_divisie,20,15,2,0,3,18,0,0,0,3,0,9,0.0,0,0,3,0,9,3,9,3,0,0,9,0,7.2,3,0,0,9,0,0.0,7.2,,
ADO Den Haag,Jong Ajax,2-0,https://www.besoccer.com/match/ado-den-haag/jong-ajax/20222638,2022,4,eerste_divisie,20,15,0,2,0,4,9,3,0,0,6,0,7.2,3,0,0,6,0,16,0,0,0,3,0,6,0.0,0,0,3,0,6,7.2,0.0,,
VVV Venlo,NAC Breda,2-2,https://www.besoccer.com/match/vvv/nac-breda/20222639,2022,4,eerste_divisie,20,15,1,2,2,8,3,0,3,0,6,6,2.4,0,3,0,6,6,14,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
