Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,7,championship,24,17,0,3,2,6,18,6,0,0,18,12,9.0,6,0,0,18,12,23,0,0,0,6,12,18,0.0,0,0,6,12,18,9.0,0.0,,
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,7,championship,24,17,2,0,1,22,0,0,0,6,0,6,0.0,0,0,6,0,6,5,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,7,championship,24,17,1,1,1,9,6,0,6,0,6,6,3.0,0,6,0,6,6,14,6,0,6,0,6,6,3.0,0,6,0,6,6,3.0,3.0,,
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,7,championship,24,17,0,2,1,1,18,6,0,0,12,6,9.0,6,0,0,12,6,20,0,0,0,6,6,12,0.0,0,0,6,6,12,9.0,0.0,,
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,8,championship,24,17,1,2,2,13,7,0,7,0,14,14,3.0,0,7,0,14,14,15,7,0,7,0,14,14,3.0,0,7,0,14,14,3.0,3.0,,
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,8,championship,24,17,0,2,1,3,21,7,0,0,14,7,9.0,7,0,0,14,7,21,0,0,0,7,7,14,0.0,0,0,7,7,14,9.0,0.0,,
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,8,championship,24,17,1,1,1,7,7,0,7,0,7,7,3.0,0,7,0,7,7,12,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,8,championship,24,17,1,1,1,10,7,0,7,0,7,7,3.0,0,7,0,7,7,17,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,8,championship,24,17,1,1,1,8,7,0,7,0,7,7,3.0,0,7,0,7,7,18,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,8,championship,24,17,0,3,0,4,21,7,0,0,21,0,9.0,7,0,0,21,0,24,0,0,0,7,0,21,0.0,0,0,7,0,21,9.0,0.0,,
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,8,championship,24,17,2,1,4,19,0,0,0,7,7,28,0.0,0,0,7,7,28,2,21,7,0,0,28,7,9.0,7,0,0,28,7,0.0,9.0,,
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,8,championship,24,17,1,1,1,14,7,0,7,0,7,7,3.0,0,7,0,7,7,9,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
