Home_Team,Away_Team,Result,Link,Season,Round,League
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,6,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,6,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,6,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,6,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,6,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,6,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,7,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,7,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,7,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,7,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,7,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,7,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,7,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,7,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,7,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,8,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,8,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,8,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,8,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,8,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,8,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,8,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,8,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,8,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,9,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,9,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,9,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,9,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,9,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,9,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,9,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,9,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,9,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,10,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,10,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,10,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,10,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,10,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,10,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,10,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,10,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,10,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,11,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,11,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,11,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,11,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,11,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,11,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,11,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,11,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,11,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,12,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,12,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,12,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,12,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,12,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,12,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,12,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,12,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,12,2_liga
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,13,2_liga
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,13,2_liga
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,13,2_liga
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,13,2_liga
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,13,2_liga
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,13,2_liga
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,13,2_liga
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,13,2_liga
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,13,2_liga
